nest_id,year,lat,long,plot,field,in_study,confirmed,species,outcome,found_date,build_date,egg_date,hatch_date_key,fledge_date,mobile_date,num_eggs,num_hatched,num_fledged,hatch_rate,Fledge Rate,,
LS N1 23,2023,,,,lower_sunset,no,,Bobolink,At least one young fledged,5/30/23,5/27/23,5/29/23,6/10/23,6/20/23,6/30/23,7,5,4,0.714285714,0.8,,
PlainsE N1 23,2023,,,,plains,no,,Bobolink,Abandoned,6/7/23,,btw 6- 8 and 18,,,,2,0,0,0,0,,
P14 N2 23,2023,,,14,,,,Bobolink,At least one young fledged,6/15/23,5/28/23,5/30/23,6/11/23,6/21/23,,3,3,3,1,1,,
P9 N1 23,2023,,,9,,,,Bobolink,At least one young fledged,6/9/23,5/24/23,5/26/23,6/7/23,6/17/23,6/27/23,5,5,4,1,0.8,,
P7 N1 23,2023,,,7,,,,Bobolink,At least one young fledged,6/14/23,5/23/23,5/25/23,6/6/23,6/16/23,6/26/23,6,6,6,1,1,,
P9 N2 23,2023,,,9,,,,Bobolink,At least one young fledged,6/14/23,5/26/23,5/28/23,6/9/23,6/19/23,6/29/23,5,5,5,1,1,,
GP5 N1 23,2023,,,,,no,,Bobolink,At least one young fledged,6/14/23,5/22/23,5/24/23,6/5/23,6/15/23,6/25/23,5,5,4,1,0.8,,
P13 N3 23,2023,,,13,,,,Bobolink,At least one young fledged,6/14/23,5/22/23,5/24/23,6/5/23,6/15/23,6/25/23,5,5,5,1,1,,
P13 N2 23,2023,,,13,,,,Bobolink,At least one young fledged,6/14/23,5/22/23,5/24/23,6/5/23,6/15/23,6/25/23,4,4,4,1,1,,
P17 N1 23,2023,,,17,,,,Bobolink,At least one young fledged,6/16/23,5/24/23,5/26/23,6/7/23,6/17/23,6/27/23,5,5,5,1,1,,
P13 N1 23,2023,,,13,,,,Bobolink,At least one young fledged,6/12/23,5/19/23,5/21/23,6/2/23,6/12/23,6/22/23,1,1,1,1,1,,
P15 N3 23,2023,,,15,,,,Bobolink,At least one young fledged,6/15/23,,,,6/15/23,6/25/23,1,1,1,1,1,,
P16 N2 23,2023,,,16,,,,Bobolink,At least one young fledged,6/14/23,5/26/23,5/28/23,6/9/23,6/19/23,6/29/23,4,4,2,1,0.5,,
P15 N1 23,2023,,,15,,,,Bobolink,At least one young fledged,5/30/23,5/22/23,5/24/23,6/5/23,6/15/23,6/25/23,6,5,5,0.833333333,1,,
