plot,cover,date
1,1464,2023-04-27
2,1464,2023-04-27
3,1906.4,2023-04-27
4,1795.8,2023-04-27
5,1795.8,2023-04-27
6,1906.4,2023-04-27
7,1464,2023-04-27
8,1464,2023-04-27
9,1732.6,2023-04-27
10,1732.6,2023-04-27
11,2286,2023-04-27
12,2286,2023-04-27
13,2285.6,2023-04-27
14,1716.8,2023-04-27
15,1843.2,2023-04-27
16,2064.4,2023-04-27
17,2064.4,2023-04-27
19,2427.8,2023-04-27
20,2427.8,2023-04-27
21,1764.2,2023-04-27
9,2032.6,2023-05-04
9,2428,2023-05-06
10,2032.6,2023-05-08
12,2646,2023-05-08
4,2948.7599999999998,2023-05-09
10,1732.6,2023-05-10
12,2169,2023-05-10
2,3128.7599999999998,2023-05-15
3,3128.7599999999998,2023-05-15
11,2646,2023-05-15
1,2348.8,2023-05-16
2,2475.2,2023-05-16
3,2254,2023-05-16
4,1479.8,2023-05-16
5,2282.8,2023-05-16
6,3723.4,2023-05-16
7,3549.6,2023-05-16
8,3549.6,2023-05-16
9,2728,2023-05-16
10,1732.6,2023-05-16
11,2364.6,2023-05-16
12,2348.8,2023-05-16
13,3265.2,2023-05-16
14,2854.4,2023-05-16
15,3328.4,2023-05-16
16,3549.6,2023-05-16
17,3549.6,2023-05-16
19,4181.6,2023-05-16
20,4181.6,2023-05-16
21,3897.2,2023-05-16
1,1890.6,2023-05-23
2,3770.8,2023-05-23
3,2522.6,2023-05-23
4,1859,2023-05-23
5,3470.6,2023-05-23
6,2996.6,2023-05-23
7,4450.2,2023-05-23
8,1969.6,2023-05-23
9,3407.4,2023-05-23
10,1859,2023-05-23
11,4908.4,2023-05-23
12,3549.6,2023-05-23
13,4071,2023-05-23
14,4039.4,2023-05-23
16,6061.8,2023-05-23
17,5287.6,2023-05-23
19,3976.2,2023-05-23
21,5382.4,2023-05-23
1,2064.4,2023-05-30
2,3233.6,2023-05-30
3,2933.4,2023-05-30
4,2222.4,2023-05-30
5,3676,2023-05-30
6,5050.6,2023-05-30
7,3360,2023-05-30
8,2743.8,2023-05-30
14,4150,2023-05-30
15,4181.6,2023-05-30
16,6251.4,2023-05-30
17,4876.8,2023-05-30
19,3992,2023-05-30
20,2901.8,2023-05-30
21,5698.4,2023-05-30
1,2333,2023-06-09
2,3802.4,2023-06-09
3,3170.4,2023-06-09
4,1985.4,2023-06-09
5,2743.8,2023-06-09
6,3154.6,2023-06-09
7,5982.8,2023-06-09
8,3091.4,2023-06-09
9,3707.6,2023-06-09
10,2854.4,2023-06-09
11,3486.4,2023-06-09
12,3786.6,2023-06-09
13,3660.2,2023-06-09
14,4134.2,2023-06-09
15,4639.8,2023-06-09
16,6899.2,2023-06-09
17,4797.8,2023-06-09
19,3660.2,2023-06-09
20,2933.4,2023-06-09
21,5840.6,2023-06-09
1,3202,2023-06-27
2,3707.6,2023-06-27
3,3770.8,2023-06-27
4,2854.4,2023-06-27
5,3407.4,2023-06-27
6,4007.8,2023-06-27
7,5635.2,2023-06-27
8,3723.4,2023-06-27
9,4323.8,2023-06-27
10,2901.8,2023-06-27
11,4718.8,2023-06-27
12,3960.4,2023-06-27
13,4244.8,2023-06-27
14,5050.6,2023-06-27
15,5429.8,2023-06-27
16,2901.8,2023-06-27
17,5793.2,2023-06-27
19,2949.2,2023-06-27
20,2980.8,2023-06-27
21,3107.2,2023-06-27
1,1886,2024-04-24
2,2068,2024-04-24
3,2796,2024-04-24
4,2082,2024-04-24
5,2502,2024-04-24
6,2166,2024-04-24
7,2138,2024-04-24
8,2222,2024-04-24
9,2012,2024-04-24
10,1676,2024-04-24
11,2264,2024-04-24
12,2306,2024-04-24
13,2460,2024-04-24
14,2334,2024-04-24
15,2278,2024-04-24
