plot,year,cows_in,cows_out,trt_proposed,trt_actual,trt_type_actual,notes
1,2023,5/15/23,5/22/23,early_nesting,pre_nesting,,"long time, check out date"
2,2023,5/16/23,5/16/23,pre_nesting,pre_nesting,mowed,mowed
3,2023,5/13/23,5/15/23,pre_nesting,pre_arrival,,
4,2023,5/10/23,5/13/23,pre_arrival,pre_arrival,,
5,2023,5/31/23,6/4/23,early_nesting,early_nesting,,
6,2023,5/26/23,5/31/23,early_nesting,early_nesting,,
7,2023,7/15/23,7/15/23,post_nesting,post_nesting,fallow,fallow
8,2023,5/22/23,5/26/23,early_nesting,early_nesting,,
9,2023,5/5/23,5/6/23,pre_arrival,pre_arrival,,
10,2023,5/16/23,5/8/23,pre_arrival,pre_arrival,,
11,2023,5/16/23,5/16/23,pre_nesting,pre_nesting,mowed,mowed
12,2023,5/8/23,5/10/23,pre_arrival,pre_arrival,,
13,2023,7/15/23,7/15/23,post_nesting,post_nesting,fallow,fallow
14,2023,7/15/23,7/15/23,post_nesting,post_nesting,fallow,fallow
15,2023,7/15/23,7/15/23,post_nesting,post_nesting,fallow,fallow
16,2023,6/27/23,7/6/23,post_nesting,peak,,
17,2023,7/15/23,7/15/23,post_nesting,post_nesting,fallow,fallow
19,2023,6/24/23,6/25/23,post_nesting,peak,,
20,2023,6/25/23,6/27/23,post_nesting,peak,,
21,2023,6/10/23,6/15/23,peak,,,
1,2024,4/24/24,4/26/24,pre_arrival,pre_arrival,,
2,2024,4/26/24,4/28/24,pre_arrival,pre_arrival,,
3,2024,7/15/24,7/15/24,post_nesting,post_nesting,fallow,fallow
4,2024,4/28/24,5/1/24,pre_arrival,pre_arrival,,
5,2024,5/2/24,5/4/24,pre_arrival,pre_arrival,,
6,2024,5/4/24,5/5/24,pre_nesting,pre_arrival,,
7,2024,5/5/24,5/6/24,pre_nesting,pre_arrival,,
8,2024,5/6/24,5/8/24,pre_nesting,pre_arrival,,
9,2024,5/8/24,5/9/24,pre_nesting,pre_arrival,,
10,2024,5/9/24,5/10/24,pre_nesting,pre_arrival,,
11,2024,5/10/24,5/11/24,early_nesting,pre_arrival,,
12,2024,5/11/24,5/13/24,early_nesting,pre_arrival,,
13,2024,5/13/24,5/16/24,early_nesting,pre_nesting,,
14,2024,5/17/24,5/20/24,early_nesting,pre_nesting,,
15,2024,7/15/24,7/15/24,post_nesting,post_nesting,fallow,fallow
16,2024,7/15/24,7/15/24,post_nesting,post_nesting,fallow,fallow
17,2024,5/28/24,5/30/24,early_nesting,early_nesting,,
19,2024,5/24/24,5/27/24,early_nesting,early_nesting,,
20,2024,5/27/24,5/28/24,early_nesting,early_nesting,,
21,2024,7/15/24,7/15/24,post_nesting,post_nesting,fallow,fallow
1,2025,7/15/25,7/15/25,post_nesting,post_nesting,fallow,skipped on 5/29 move
2,2025,7/15/25,7/15/25,early_nesting,post_nesting,fallow,skipped on 5/29 move
3,2025,5/26/25,5/29/25,early_nesting,early_nesting,,"cows exited 5/29 from Plot 3 (Jane's video), they moved to GP3 North Buffer."
4,2025,5/23/25,5/26/25,early_nesting,early_nesting,,"cows out by 5/27, mowed for roses on 5/27"
5,2025,5/17/25,5/20/25,pre_nesting,early_nesting,,"cows out by 5/20, mowed for roses post-graze on May 20, also south end mowed May 14"
6,2025,7/15/25,7/15/25,post_nesting,post_nesting,fallow,Zoe
7,2025,5/14/25,5/17/25,pre_nesting,pre_nesting,,
8,2025,7/15/25,7/15/25,pre_nesting,post_nesting,fallow,Jane
9,2025,5/11/25,5/14/25,post_nesting,pre_arrival,,Maia 4A
10,2025,5/11/25,5/14/25,pre_arrival,pre_arrival,,Maia 4A
11,2025,5/9/25,5/11/25,pre_arrival,pre_arrival,,Maia 4B
12,2025,5/7/25,5/9/25,post_nesting,pre_arrival,,Maia 4C
13,2025,5/7/25,5/9/25,pre_arrival,pre_arrival,,Maia 4C
14,2025,5/5/25,5/7/25,pre_arrival,pre_arrival,,Maia 6C
15,2025,6/2/25,6/3/25,early_nesting,early_nesting,,Maia 5B
16,2025,4/28/25,4/28/25,,pre_arrival,,"rotary mowed short (mf roses, AB)"
17,2025,4/28/25,4/28/25,,pre_arrival,,"rotary mowed short (mf roses, AB)"
16,2025,6/3/25,6/4/25,early_nesting,early_nesting,,Jane Intensive graze with molasses
17,2025,6/4/25,6/5/25,early_nesting,early_nesting,,Jane Intensive graze with molasses
19,2025,5/1/25,5/4/25,pre_arrival,pre_arrival,,Maia 6C
20,2025,5/1/25,5/4/25,pre_arrival,pre_arrival,,Maia 6C
21,2025,4/25/25,4/26/25,pre_arrival,pre_arrival,,Maia 7
