nest_id,type,year,tree_dist,wet_dist,ditch_dist,sqm_50,tree50_sqm,wet50_sqm,evergreen50_sqm,deciduous50_sqm,edge50_sqft,sqm_100,tree100_sqm,wet100_sqm
P9 N1 23,real,2023,47.88002208,37.71168366,69.08345288,7853.98,19.17392863,385.367222,0,19.17392863,,31415.92654,834.7213914,7939.102081
P9 N2 23,real,2023,52.48549337,52.53148021,77.00415025,7853.98,0,0,0,0,,31415.92654,1637.942545,7219.271243
P15 N2 23,real,2023,29.86781246,9.783466593,35.62679511,7853.98,278.3519704,3363.129109,0,278.3519704,,31415.92654,3084.95091,15018.16896
P15 N1 23,real,2023,21.49647676,15.77300329,47.50855029,7853.98,325.178401,2191.721479,0,325.178401,,31415.92654,2461.218217,14386.2544
GP5W N1 23,real,2023,16.49381341,13.77886486,59.97612517,7853.98,1225.780201,3086.025605,0,1225.780201,,31415.92654,2373.872412,15742.79544
P7 N1 23,real,2023,74.2363035,98.78593567,186.5630879,7853.98,0,0,0,0,,31415.92654,1266.966049,3.305751559
P2 N1 23,real,2023,38.29437101,44.95265197,171.1435318,7853.98,219.6702207,81.44925312,0,219.6702207,,31415.92654,2936.081773,2501.623294
P11 N1 23,real,2023,90.58334958,28.13854553,116.0546818,7853.98,0,1516.115645,0,0,,31415.92654,109.340869,10047.98336
P13 N1 23,real,2023,47.80953575,104.5700478,170.5303152,7853.98,14.02645749,0,0,14.02645749,,31415.92654,6789.268266,0
P13 N2 23,real,2023,28.58782654,68.54189113,195.6785425,7853.98,349.0253035,0,292.8584068,56.16689664,,31415.92654,5718.762503,1711.685648
P13 N3 23,real,2023,73.56462414,58.21357719,141.9551008,7853.98,0,0,0,0,,31415.92654,884.805642,4170.52102
P14 N2 23,real,2023,31.9641997,47.81873852,87.82437273,7853.98,191.4044343,25.56634856,0,191.4044343,,31415.92654,906.4119207,5298.922184
P14 N1 23,real,2023,4.562513309,26.23355806,48.56171359,7853.98,783.0150954,1417.614076,0,783.0150954,,31415.92654,2116.543216,10085.02203
P16 N1 23,real,2023,74.18966182,0,38.9343238,7853.98,0,7079.367228,0,0,,31415.92654,1582.483179,17388.87978
P16 N2 23,real,2023,30.62971295,13.26039657,64.75891863,7853.98,473.535812,2618.174449,55.57172036,417.9640916,,31415.92654,2446.237039,14722.6796
P17 N1 23,real,2023,5.288890759,4.378579458,43.78520081,7853.98,395.054212,4786.614653,395.054212,0,,31415.92654,4423.391535,16712.51821
P15 N3 23,real,2023,5.960442933,0,9.482999932,7853.98,1266.550221,6769.877854,0,1266.550221,,31415.92654,5823.589866,16993.86726
P10 N2 24,real,2024,78.64254368,60.30216377,115.6935496,7853.98,0,0,0,0,,31415.92654,371.9904299,2694.843335
P10 N3 24,real,2024,87.06684612,52.75234726,128.397799,7853.98,0,0,0,0,,31415.92654,181.9734861,2007.716737
P11 N1 24,real,2024,77.53663625,7.953676681,82.18891468,7853.98,0,3659.850226,0,0,,31415.92654,970.095401,12568.95462
P12 N2 24,real,2024,93.116513,39.63802156,95.35806405,7853.98,0,488.6295649,0,0,,31415.92654,32.64592964,8852.509087
P13 N2 24,real,2024,83.21326368,55.48259219,106.9192179,7853.98,0,0,0,0,,31415.92654,217.8727143,6929.883832
P12 N1 24,real,2024,53.84196492,0,156.5956962,7853.98,0,3088.081427,0,0,,31415.92654,1773.662804,5208.442376
P 15 N1 24,real,2024,12.53765183,18.36092923,50.80995124,7853.98,543.3938075,1770.109296,0,543.3938075,,31415.92654,2318.458368,14881.8624
P15 N2 24,real,2024,2.329421748,0,16.81554008,7853.98,1895.280596,5417.47344,0,1895.280596,,31415.92654,3221.335302,18520.94323
P16 N1 24,real,2024,76.68521237,0,43.89300376,7853.98,0,6614.362883,0,0,,31415.92654,1455.233178,16786.85711
P16 N2 24,real,2024,57.18852309,0,28.99064556,7853.98,0,6712.949376,0,0,,31415.92654,1704.214575,16681.06787
P19 N1 24,real,2024,6.941066524,7.973047179,37.51183615,7853.98,867.285215,2719.825048,0,867.285215,,31415.92654,2624.6975,12784.87517
P21 N1 24,real,2024,28.98091954,0,77.52589483,7853.98,749.7247642,6166.228635,0,749.7247642,,31415.92654,9308.493084,15260.64359
P6 N1 24,real,2024,21.23657945,77.15981901,205.4657722,7853.98,517.67947,0,0,517.67947,,31415.92654,517.67947,1343.338994
P7 N1 24,real,2024,67.44057488,100.4902644,198.3622966,7853.98,0,0,0,0,,31415.92654,1175.575068,0
P8 N1 24,real,2024,79.68302592,120.3080524,155.2582997,7853.98,0,0,0,0,,31415.92654,759.7558132,0
P1 N2 25,real,2025,31.07349954,78.29603638,128.5266487,7853.98,449.9524511,0,0,449.9524511,,31415.92654,4520.432729,1869.982844
P11 N1 25,real,2025,89.35636067,16.45785549,91.05122992,7853.98,0,2979.784254,0,0,,31415.92654,364.1259736,11835.77643
P11 N2 25,real,2025,103.5659337,0,105.0501994,7853.98,0,3583.109206,0,0,,31415.92654,0,10651.71383
P12 N2 25,real,2025,60.9359307,31.321033,145.7663976,7853.98,0,934.8090931,0,0,,31415.92654,1389.809328,5280.829109
P12 N3 25,real,2025,112.5343864,6.405148399,64.03412737,7853.98,0,3890.209713,0,0,,31415.92654,0,13899.35754
P12 N4 25,real,2025,106.003012,28.37789936,97.87948214,7853.98,0,1327.387555,0,0,,31415.92654,0,8936.422178
P13 N1 25,real,2025,82.29675991,68.48134556,129.3470954,7853.98,0,0,0,0,,31415.92654,875.1925395,3621.466348
P13 N2 25,real,2025,51.62163148,52.02537323,159.660896,7853.98,0,0,0,0,,31415.92654,1731.200803,4069.175982
P 15 N1 25,real,2025,29.71209017,1.426385314,36.511611,7853.98,291.625535,3040.590218,0,291.625535,,31415.92654,2391.365519,13748.64426
P2 N1 25,real,2025,39.21665001,45.20385706,172.1890534,7853.98,193.0499534,79.96148579,0,193.0499534,,31415.92654,2951.47976,2530.37023
P21 N1 25,real,2025,27.02071941,0,64.98682884,7853.98,813.9611057,4560.23573,0,813.9611057,,31415.92654,8379.837264,14027.27129
